,b1,a2,b2,RatioTotalArea,frac,Nc
39220,0.005,0.025,0.025,0.0054977871437821395,0.4,9.17152
19172,0.0005,0.025,0.0027777777777777783,0.0007570365630525407,0.05,5.9189300000000005
28867,0.1,0.15,0.05,0.10367255756846316,0.4,6.109
47257,0.5,0.025,0.00125,0.039363174201775895,0.95,28.5935
23845,0.0125,0.2,0.2,0.12036226854065896,0.95,8.64466
16757,0.0025,0.005,0.005,0.0037345682669548655,0.05,5.87133
20079,0.001,0.4,0.02,0.008639379797371931,0.3,6.1559300000000015
10086,0.03333333333333333,0.4,0.004,0.04762654462842126,0.1,5.11595
3297,0.125,0.1,0.025,0.17749998492782332,0.1,3.95267
53963,0.025,0.5,0.125,0.16493361431346415,0.8,3.77296
19254,0.0005,0.05,0.0016666666666666668,0.0007592182246175334,0.05,5.9187199999999995
50533,0.16666666666666666,0.5,0.0125,0.03174317577064688,0.95,5.13048
40434,0.01,0.15,0.01875,0.011584622910112363,0.6,12.0051
40212,0.005,0.3,0.1,0.05105088062083413,0.5,6.6970199999999975
52839,0.03333333333333333,0.025,0.004166666666666668,0.010733774899765123,0.8,24.3878
51097,0.0625,0.01,0.01,0.019886281497223383,0.8,21.9215
45612,0.001,0.1,0.025,0.007539822368615503,0.95,57.435
33236,0.0625,0.3,0.0015,0.0304420328132851,0.7,8.898719999999997
22314,0.00625,0.5,0.03333333333333333,0.048105637508093706,0.9,4.9469
55584,0.00625,0.05,0.05,0.008246680715673206,0.8,25.4372
46882,0.5,0.05,0.025,0.08207410807503332,0.9,14.1081
31921,0.07142857142857142,0.3,0.06,0.07880909571005251,0.6,6.76895
36506,0.016666666666666666,0.25,0.00025,0.013188144160382151,0.5,8.65593
60434,0.08333333333333333,0.05,0.0025,0.001697769029877485,0.99,287.8914664
7438,0.0625,0.1,0.0001,0.08836043497486652,0.1,4.8592
4905,0.1,0.4,0.04444444444444445,0.15201817784870608,0.05,3.95053
38317,0.00625,0.01,0.0025,0.00592190215201676,0.4,9.13649
51235,0.0625,0.05,0.000625,0.01971349390127595,0.8,21.5761
31397,0.0625,0.35,0.0007,0.04947223031240527,0.5,6.34738
28833,0.1,0.1,0.005,0.09487609813841176,0.4,6.34795
46000,0.00625,0.05,0.00125,0.0006774059159302997,0.95,102.06200000000001
23279,0.0005,0.01,0.002,0.0001350884841043611,0.9,56.2163
27257,0.16666666666666666,0.5,0.01,0.1633628179866692,0.4,3.7124
9207,0.05555555555555555,0.15,0.01875,0.07158031594741744,0.2,5.53037
59202,0.0125,0.05,0.0005,0.0039898226700590365,0.8,26.30145306
58024,0.125,0.45,0.009000000000000001,0.0145597111530619,0.99,6.595879502000001
50492,0.25,0.05,0.005555555555555557,0.004790928796724438,0.99,201.055
61132,0.05,0.25,0.05,0.039662607251571134,0.99,15.14203564
93,0.5,0.4,0.4,0.7005751617505238,0.3,1.61396
16805,0.00625,0.5,0.0125,0.012762720155208532,0.3,5.4382699999999975
34088,0.03333333333333333,0.15,0.01875,0.03495021827118645,0.4,7.779139999999999
52390,0.07142857142857142,0.01,0.0005,0.011234110929761842,0.9,42.4834
12564,0.025,0.25,0.003125,0.031906800388021336,0.2,6.0141599999999995
60876,0.00625,0.2,0.0004,0.0003469889085889928,0.99,33.66931021
57664,0.01,0.1,0.0025,0.001531526418625025,0.95,70.0688
17032,0.00625,0.25,0.00125,0.007166758241001716,0.3,7.15602
39280,0.016666666666666666,0.5,0.5,0.5576326960121882,0.7,1.8069
25758,0.25,0.05,0.0125,0.19733128855360887,0.5,5.0278800000000015
2716,0.16666666666666666,0.025,0.0035714285714285718,0.20949561010813364,0.2,3.94498
3322,0.125,0.05,0.025,0.1771072858461246,0.1,3.96587
20993,0.005,0.45,0.0009,0.0019305086856309282,0.9,6.76496
56346,0.05555555555555555,0.35,0.06999999999999999,0.07748389214228825,0.95,7.61274
6563,0.07142857142857142,0.05,0.0033333333333333327,0.10661593068557647,0.05,4.47093
21287,0.03333333333333333,0.3,0.0006,0.0057449257658645355,0.9,12.9881
39971,0.01,0.005,0.000125,0.006284363404424682,0.6,13.4787
10782,0.05,0.01,0.00125,0.05498965241027234,0.3,6.567769999999999
3708,0.125,0.005,0.000625,0.1767155685121301,0.1,3.96653
46705,0.5,0.3,0.03,0.10398671683382213,0.9,7.38238
13649,0.016666666666666666,0.25,0.00125,0.02114030056478132,0.2,6.2217
47810,0.5,0.5,0.016666666666666666,0.06414085001079163,0.95,4.59215
8404,0.05555555555555555,0.1,0.05,0.08011061266653972,0.1,4.9767
5674,0.08333333333333333,0.25,0.03571428571428571,0.1000447660518178,0.3,5.3375699999999995
49317,0.125,0.2,0.01,0.02528982086139784,0.9,18.6306
54720,0.05,0.2,0.002,0.008984954989266805,0.9,22.0033
32547,0.05555555555555555,0.2,0.1,0.07504915783575616,0.5,7.14527
